estimated_x,estimated_y,estimated_z,GPIO_Pin_12,GPIO_Pin_13,GPIO_Pin_14,GPIO_Pin_15
143.508.881,132.428.864,158.017.776,OFF,OFF,OFF,ON
143.508.881,132.428.864,158.017.776,OFF,OFF,OFF,ON
143.508.881,132.428.864,158.017.776,OFF,OFF,OFF,ON
143.508.881,132.428.864,158.017.776,OFF,OFF,OFF,ON
143.508.881,132.428.864,158.017.776,OFF,OFF,OFF,ON
143.508.881,132.428.864,158.017.776,OFF,OFF,OFF,ON
143.508.881,132.428.864,158.017.776,OFF,OFF,OFF,ON
143.508.881,132.428.864,158.017.776,OFF,OFF,OFF,ON
143.508.881,132.428.864,158.017.776,OFF,OFF,OFF,ON
143.508.881,132.428.864,158.017.776,OFF,OFF,OFF,ON
143.508.881,132.428.864,158.017.776,OFF,OFF,OFF,ON
143.508.881,132.428.864,158.017.776,OFF,OFF,OFF,ON
143.508.881,132.428.864,158.017.776,OFF,OFF,OFF,ON
143.508.881,132.428.864,158.017.776,OFF,OFF,OFF,ON
143.508.881,132.428.864,158.017.776,OFF,OFF,OFF,ON
143.508.881,132.428.864,158.017.776,OFF,OFF,OFF,ON
143.508.881,132.428.864,158.017.776,OFF,OFF,OFF,ON
143.508.881,132.428.864,158.017.776,OFF,OFF,OFF,ON
143.508.881,132.428.864,158.017.776,OFF,OFF,OFF,ON
143.508.881,132.428.864,158.017.776,OFF,OFF,OFF,ON
