estimated_x,estimated_y,estimated_z,GPIO_Pin_12,GPIO_Pin_13,GPIO_Pin_14,GPIO_Pin_15
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.146.469,133.073.395,160.292.938,ON,OFF,OFF,ON
208.146.469,133.073.395,160.292.938,ON,OFF,OFF,ON
208.146.469,133.073.395,160.292.938,ON,OFF,OFF,ON
208.146.469,133.073.395,160.292.938,ON,OFF,OFF,ON
208.146.469,133.073.395,160.292.938,ON,OFF,OFF,ON
208.146.469,133.073.395,160.292.938,ON,OFF,OFF,ON
208.146.469,133.073.395,160.292.938,ON,OFF,OFF,ON
208.146.469,133.073.395,160.292.938,ON,OFF,OFF,ON
208.146.469,133.073.395,160.292.938,ON,OFF,OFF,ON
208.146.469,133.073.395,160.292.938,ON,OFF,OFF,ON
208.146.469,133.073.395,160.292.938,ON,OFF,OFF,ON
208.146.469,133.073.395,160.292.938,ON,OFF,OFF,ON
208.146.469,133.073.395,160.292.938,ON,OFF,OFF,ON
208.146.469,133.073.395,160.292.938,ON,OFF,OFF,ON
208.146.469,133.073.395,160.292.938,ON,OFF,OFF,ON
208.146.469,133.073.395,160.292.938,ON,OFF,OFF,ON
208.146.469,133.073.395,160.292.938,ON,OFF,OFF,ON
208.146.469,133.073.395,160.292.938,ON,OFF,OFF,ON
208.146.469,133.073.395,160.292.938,ON,OFF,OFF,ON
208.146.469,133.073.395,160.292.938,ON,OFF,OFF,ON
208.146.469,133.073.395,160.292.938,ON,OFF,OFF,ON
208.146.469,133.073.395,160.292.938,ON,OFF,OFF,ON
143.213.837,132.463.943,157.020.081,OFF,OFF,OFF,ON
143.009.521,132.412.094,157.019.028,OFF,OFF,OFF,ON
143.009.521,132.412.094,157.019.028,OFF,OFF,OFF,ON
143.009.521,132.412.094,157.019.028,OFF,OFF,OFF,ON
143.009.521,132.412.094,157.019.028,OFF,OFF,OFF,ON
143.009.521,132.412.094,157.019.028,OFF,OFF,OFF,ON
143.009.521,132.412.094,157.019.028,OFF,OFF,OFF,ON
143.009.521,132.412.094,157.019.028,OFF,OFF,OFF,ON
143.009.521,132.412.094,157.019.028,OFF,OFF,OFF,ON
143.009.521,132.412.094,157.019.028,OFF,OFF,OFF,ON
143.009.521,132.412.094,157.019.028,OFF,OFF,OFF,ON
143.009.521,132.412.094,157.019.028,OFF,OFF,OFF,ON
143.009.521,132.412.094,157.019.028,OFF,OFF,OFF,ON
143.009.521,132.412.094,157.019.028,OFF,OFF,OFF,ON
143.009.521,132.412.094,157.019.028,OFF,OFF,OFF,ON
143.009.521,132.412.094,157.019.028,OFF,OFF,OFF,ON
143.009.521,132.412.094,157.019.028,OFF,OFF,OFF,ON
143.009.521,132.412.094,157.019.028,OFF,OFF,OFF,ON
143.009.521,132.412.094,157.019.028,OFF,OFF,OFF,ON
143.009.521,132.412.094,157.019.028,OFF,OFF,OFF,ON
143.009.521,132.412.094,157.019.028,OFF,OFF,OFF,ON
143.009.521,132.412.094,157.999.252,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,161.272.842,OFF,OFF,OFF,ON
208.636.459,133.122.757,161.272.919,ON,OFF,OFF,ON
208.636.459,133.122.757,161.272.919,ON,OFF,OFF,ON
208.636.459,133.122.757,161.272.919,ON,OFF,OFF,ON
208.636.459,133.122.757,161.272.919,ON,OFF,OFF,ON
208.636.459,133.122.757,161.272.919,ON,OFF,OFF,ON
208.636.459,133.122.757,161.272.919,ON,OFF,OFF,ON
208.636.459,133.122.757,161.272.919,ON,OFF,OFF,ON
208.636.459,133.122.757,161.272.919,ON,OFF,OFF,ON
208.636.459,133.122.757,161.272.919,ON,OFF,OFF,ON
208.636.459,133.122.757,161.272.919,ON,OFF,OFF,ON
208.636.459,133.122.757,161.272.919,ON,OFF,OFF,ON
208.636.459,133.122.757,161.272.919,ON,OFF,OFF,ON
208.636.459,133.122.757,161.272.919,ON,OFF,OFF,ON
208.636.459,133.122.757,161.272.919,ON,OFF,OFF,ON
208.636.459,133.122.757,161.272.919,ON,OFF,OFF,ON
208.636.459,133.122.757,161.272.919,ON,OFF,OFF,ON
208.636.459,133.122.757,161.272.919,ON,OFF,OFF,ON
208.636.459,133.122.757,161.272.919,ON,OFF,OFF,ON
208.636.459,133.122.757,161.272.919,ON,OFF,OFF,ON
208.636.459,133.122.757,161.272.919,ON,OFF,OFF,ON
208.636.459,133.122.757,161.272.919,ON,OFF,OFF,ON
143.508.942,132.428.970,158.017.776,OFF,OFF,OFF,ON
143.508.881,132.428.864,158.017.776,OFF,OFF,OFF,ON
143.508.881,132.428.864,158.017.776,OFF,OFF,OFF,ON
143.508.881,132.428.864,158.017.776,OFF,OFF,OFF,ON
143.508.881,132.428.864,158.017.776,OFF,OFF,OFF,ON
143.508.881,132.428.864,158.017.776,OFF,OFF,OFF,ON
143.508.881,132.428.864,158.017.776,OFF,OFF,OFF,ON
143.508.881,132.428.864,158.017.776,OFF,OFF,OFF,ON
143.508.881,132.428.864,158.017.776,OFF,OFF,OFF,ON
143.508.881,132.428.864,158.017.776,OFF,OFF,OFF,ON
143.508.881,132.428.864,158.017.776,OFF,OFF,OFF,ON
143.508.881,132.428.864,158.017.776,OFF,OFF,OFF,ON
143.508.881,132.428.864,158.017.776,OFF,OFF,OFF,ON
143.508.881,132.428.864,158.017.776,OFF,OFF,OFF,ON
143.508.881,132.428.864,158.017.776,OFF,OFF,OFF,ON
143.508.881,132.428.864,158.017.776,OFF,OFF,OFF,ON
143.508.881,132.428.864,158.017.776,OFF,OFF,OFF,ON
143.508.881,132.428.864,158.017.776,OFF,OFF,OFF,ON
143.508.881,132.428.864,158.017.776,OFF,OFF,OFF,ON
143.508.881,132.428.864,158.017.776,OFF,OFF,OFF,ON
143.508.881,132.428.864,158.017.776,OFF,OFF,OFF,ON
143.508.881,132.428.864,158.017.776,OFF,OFF,OFF,ON
143.508.881,132.428.864,158.017.776,OFF,OFF,OFF,ON
143.508.881,132.428.864,158.017.776,OFF,OFF,OFF,ON
